epoch,lr,step,test_acc,test_acc_top5,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_loss
51,,2131,,,,0.8053861856460571,,0.9720528721809387,,1.2965848445892334,,,,
52,0.05656956881284714,2149,,,,,0.9583333134651184,,0.9583333134651184,,1.0403721332550049,,,
52,,2159,0.5116225481033325,0.7241362929344177,2.8006744384765625,,,,,,,0.9200000166893005,0.9950000047683716,0.8284156918525696
52,,2172,,,,0.8038617968559265,,0.9664633870124817,,1.2736464738845825,,,,
53,,2189,0.5133221745491028,0.7263413071632385,2.7828261852264404,,,,,,,0.925000011920929,0.9950000047683716,0.8037386536598206
53,0.054401252418756485,2199,,,,,0.875,,0.9583333134651184,,0.8948120474815369,,,
53,,2213,,,,0.8206300735473633,,0.9710366129875183,,1.2430506944656372,,,,
54,,2219,0.5142868757247925,0.7280871868133545,2.7699778079986572,,,,,,,0.9300000071525574,0.9950000047683716,0.7817394137382507
54,0.05222456157207489,2249,,,,,0.8333333134651184,,0.9583333134651184,,1.2402019500732422,,,
54,,2249,0.5171353816986084,0.7301082015037537,2.751296043395996,,,,,,,0.9350000023841858,0.9950000047683716,0.7563348412513733
54,,2254,,,,0.8155487775802612,,0.9715447425842285,,1.237858772277832,,,,
55,,2279,0.5187433362007141,0.7315322160720825,2.736879348754883,,,,,,,0.9350000023841858,0.9950000047683716,0.7379709482192993
55,,2295,,,,0.8373983502388,,0.9730691313743591,,1.1540918350219727,,,,
56,0.050043635070323944,2299,,,,,0.875,,0.9166666865348816,,1.1715906858444214,,,
56,,2309,0.5197079181671143,0.7318537831306458,2.7250263690948486,,,,,,,0.9350000023841858,0.9950000047683716,0.7206752300262451
56,,2336,,,,0.8130081295967102,,0.9715447425842285,,1.1750373840332031,,,,
57,,2339,0.5226479768753052,0.7343349456787109,2.710669994354248,,,,,,,0.9350000023841858,1.0,0.7055357098579407
57,0.04786262288689613,2349,,,,,0.9583333134651184,,1.0,,0.7793149948120117,,,
57,,2369,0.5233830809593201,0.7351155877113342,2.694455146789551,,,,,,,0.9350000023841858,0.9950000047683716,0.6847140789031982
57,,2377,,,,0.8287601470947266,,0.9664633870124817,,1.14298677444458,,,,
58,0.04568568244576454,2399,,,,,0.8333333134651184,,0.9166666865348816,,1.1774070262908936,,,
58,,2399,0.5266906023025513,0.7367234826087952,2.6816911697387695,,,,,,,0.925000011920929,0.9950000047683716,0.6658539772033691
58,,2418,,,,0.8338414430618286,,0.9786585569381714,,1.1090710163116455,,,,
59,,2429,0.5268285274505615,0.7380098700523376,2.6715450286865234,,,,,,,0.9449999928474426,1.0,0.654804527759552
59,0.04351695254445076,2449,,,,,0.7916666865348816,,0.9583333134651184,,1.168897032737732,,,
59,,2459,0.5292173624038696,0.739617645740509,2.657496929168701,,,,,,,0.949999988079071,1.0,0.6360371708869934
59,,2459,,,,0.8267276287078857,,0.9710366129875183,,1.114743709564209,,,,
60,,2489,0.5307332277297974,0.7404908537864685,2.645042657852173,,,,,,,0.949999988079071,1.0,0.6201617121696472
60,0.04136056452989578,2499,,,,,0.875,,1.0,,1.0456327199935913,,,
60,,2500,,,,0.8455284833908081,,0.9751016497612,,1.0564714670181274,,,,
61,,2519,0.5316980481147766,0.7422823309898376,2.6331167221069336,,,,,,,0.949999988079071,1.0,0.6073809266090393
61,,2541,,,,0.8424796462059021,,0.9796748161315918,,1.0491985082626343,,,,
62,0.039220623672008514,2549,,,,,0.75,,0.9583333134651184,,1.1766982078552246,,,
62,,2549,0.5320193767547607,0.7425118684768677,2.6236765384674072,,,,,,,0.9599999785423279,1.0,0.5903489589691162
62,,2579,0.5332136750221252,0.7449010014533997,2.6112000942230225,,,,,,,0.9599999785423279,1.0,0.5781090259552002
62,,2582,,,,0.8450203537940979,,0.9786585569381714,,1.0073368549346924,,,,
63,0.037101197987794876,2599,,,,,0.875,,0.9583333134651184,,0.9230936765670776,,,
63,,2609,0.5347298979759216,0.7463710904121399,2.6025562286376953,,,,,,,0.9549999833106995,1.0,0.5649676322937012
63,,2623,,,,0.8541666865348816,,0.9756097793579102,,0.9715514779090881,,,,
64,,2639,0.5356946587562561,0.7467385530471802,2.590365409851074,,,,,,,0.9649999737739563,1.0,0.5531722903251648
64,0.0350063294172287,2649,,,,,0.8333333134651184,,0.9583333134651184,,1.3848174810409546,,,
64,,2664,,,,0.8521341681480408,,0.9791666865348816,,0.9777509570121765,,,,
65,,2669,0.5364298224449158,0.747887134552002,2.581465244293213,,,,,,,0.9700000286102295,1.0,0.5415098071098328
65,0.03294000029563904,2699,,,,,0.9166666865348816,,0.9583333134651184,,0.8837326765060425,,,
65,,2699,0.5374863743782043,0.7488517761230469,2.570537805557251,,,,,,,0.9599999785423279,1.0,0.5260757803916931
65,,2705,,,,0.8628048896789551,,0.9811992049217224,,0.9364292025566101,,,,
66,,2729,0.5397831201553345,0.7501379251480103,2.56009840965271,,,,,,,0.9750000238418579,1.0,0.5135290026664734
66,,2746,,,,0.8709349632263184,,0.9837398529052734,,0.8874282836914062,,,,
67,0.03090614825487137,2749,,,,,0.875,,1.0,,1.0629215240478516,,,
67,,2759,0.540839672088623,0.7509188055992126,2.5496251583099365,,,,,,,0.9649999737739563,1.0,0.5005140900611877
67,,2787,,,,0.8541666865348816,,0.9796748161315918,,0.9163953065872192,,,,
68,,2789,0.541161298751831,0.7521595358848572,2.5440001487731934,,,,,,,0.9800000190734863,1.0,0.4946829080581665
68,0.028908640146255493,2799,,,,,0.9166666865348816,,0.9583333134651184,,0.7248762845993042,,,
68,,2819,0.5431365966796875,0.753032386302948,2.532015562057495,,,,,,,0.9750000238418579,1.0,0.48210179805755615
68,,2828,,,,0.8851625919342041,,0.9872967600822449,,0.8462376594543457,,,,
69,0.02695128135383129,2849,,,,,0.7916666865348816,,0.9583333134651184,,0.9750308394432068,,,
69,,2849,0.5424017310142517,0.7546403408050537,2.5236380100250244,,,,,,,0.9649999737739563,1.0,0.47315505146980286
69,,2869,,,,0.8714430928230286,,0.985264241695404,,0.8558877110481262,,,,
70,,2879,0.5443769097328186,0.7554669976234436,2.5173144340515137,,,,,,,0.9750000238418579,1.0,0.46035727858543396
70,0.025037797167897224,2899,,,,,0.875,,1.0,,0.7235013842582703,,,
70,,2909,0.5448364019393921,0.7566613554954529,2.5072476863861084,,,,,,,0.9800000190734863,1.0,0.4469781517982483
70,,2910,,,,0.8785569071769714,,0.985264241695404,,0.8255152702331543,,,,
71,,2939,0.5452958345413208,0.7566154599189758,2.4993696212768555,,,,,,,0.9800000190734863,1.0,0.43728360533714294
71,0.02317182905972004,2949,,,,,0.9166666865348816,,0.9583333134651184,,0.9216936826705933,,,
71,,2951,,,,0.8877032399177551,,0.9842479825019836,,0.8279661536216736,,,,
72,,2969,0.5477765202522278,0.7584527134895325,2.489767074584961,,,,,,,0.9750000238418579,1.0,0.4300409257411957
72,,2992,,,,0.8846544623374939,,0.9857723712921143,,0.825698971748352,,,,
73,0.02135693095624447,2999,,,,,0.8333333134651184,,0.9583333134651184,,0.8924156427383423,,,
73,,2999,0.5471333861351013,0.7592794895172119,2.483088731765747,,,,,,,0.9800000190734863,1.0,0.41864705085754395
73,,3029,0.5485575199127197,0.7600607872009277,2.4759116172790527,,,,,,,0.9800000190734863,1.0,0.41065433621406555
73,,3033,,,,0.8836382031440735,,0.9822154641151428,,0.7895278334617615,,,,
74,0.019596556201577187,3049,,,,,0.875,,1.0,,0.7119301557540894,,,
74,,3059,0.5486031770706177,0.7606576085090637,2.470533609390259,,,,,,,0.9800000190734863,1.0,0.4031970500946045
74,,3074,,,,0.8877032399177551,,0.9832317233085632,,0.7793034315109253,,,,
75,,3089,0.5479143857955933,0.7609793543815613,2.4641785621643066,,,,,,,0.9850000143051147,1.0,0.3934139013290405
75,0.01789405755698681,3099,,,,,0.7916666865348816,,0.9166666865348816,,1.0296666622161865,,,
75,,3115,,,,0.880081295967102,,0.982723593711853,,0.7776529788970947,,,,
76,,3119,0.5494301915168762,0.761944055557251,2.4581968784332275,,,,,,,0.9850000143051147,1.0,0.3859218657016754
76,0.0162526722997427,3149,,,,,0.9583333134651184,,1.0,,0.9118306040763855,,,
76,,3149,0.5515434145927429,0.7625412940979004,2.4511852264404297,,,,,,,0.9800000190734863,1.0,0.3808578550815582
76,,3156,,,,0.8938007950782776,,0.985264241695404,,0.7499709129333496,,,,
77,,3179,0.5516813397407532,0.7635977864265442,2.442112922668457,,,,,,,0.9850000143051147,1.0,0.37040451169013977
77,,3197,,,,0.8958333134651184,,0.9867886304855347,,0.7424652576446533,,,,
78,0.014675527811050415,3199,,,,,0.875,,1.0,,0.6874899864196777,,,
78,,3209,0.5516352653503418,0.7641032338142395,2.436711072921753,,,,,,,0.9850000143051147,1.0,0.36526408791542053
78,,3238,,,,0.889735758304596,,0.9857723712921143,,0.7185189127922058,,,,
79,,3239,0.5518649816513062,0.7647924423217773,2.4317893981933594,,,,,,,0.9850000143051147,1.0,0.359872430562973
79,0.013165625743567944,3249,,,,,0.9166666865348816,,1.0,,0.660162091255188,,,
79,,3269,0.5535645484924316,0.7663082480430603,2.423353672027588,,,,,,,0.9900000095367432,1.0,0.3536224663257599
79,,3279,,,,0.9014227390289307,,0.9832317233085632,,0.6846030354499817,,,,
80,0.011725839227437973,3299,,,,,1.0,,1.0,,0.5023989677429199,,,
80,,3299,0.554713249206543,0.766629695892334,2.4152774810791016,,,,,,,0.9900000095367432,1.0,0.34329327940940857
80,,3320,,,,0.889735758304596,,0.9847561120986938,,0.7272095680236816,,,,
81,,3329,0.5548968315124512,0.7673189043998718,2.4122536182403564,,,,,,,0.9900000095367432,1.0,0.34029799699783325
81,0.010358910076320171,3349,,,,,0.9166666865348816,,1.0,,0.7133497595787048,,,
